src,dst,volume,path_nodes
12652,16339,0.1352618928744942,"[12652, 10867, 19134, 16339]"
12652,16339,0.8647381071255058,"[12652, 12270, 13563, 16339]"
15008,17223,17.0,"[15008, 13636, 17223]"
15008,17223,270.0,"[15008, 17223]"
11112,13165,30.0,"[11112, 18799, 13165]"
11112,13165,270.0,"[11112, 13165]"
16325,16117,122.0,"[16325, 16117]"
11561,16236,1.0,"[11561, 18441, 16236]"
18441,18110,30.0,"[18441, 10705, 18110]"
18441,18110,270.0,"[18441, 18110]"
16117,10963,1.0,"[16117, 19971, 10963]"
11209,17464,1.0,"[11209, 15848, 17464]"
15891,10955,1.0,"[15891, 13170, 10955]"
18812,12562,1.0,"[18812, 13170, 17223, 12562]"
19915,11261,67.0,"[19915, 11261]"
17282,11200,28.0,"[17282, 11200]"
11147,12216,1.0,"[11147, 12205, 12216]"
13417,13100,1.0,"[13417, 15724, 13100]"
12940,12216,1.0,"[12940, 12216]"
12352,15948,1.0,"[12352, 13088, 12205, 17738, 15948]"
12352,18448,261.0,"[12352, 18448]"
16117,13917,69.0,"[16117, 13917]"
15891,10568,1.0,"[15891, 14053, 10568]"
17522,16236,88.0,"[17522, 16236]"
14234,12868,7.940342186640692,"[14234, 13665, 12868]"
14234,12868,35.05965781335931,"[14234, 15651, 12868]"
19915,18799,1.0,"[19915, 12352, 18799]"
19915,18799,90.0,"[19915, 18799]"
19300,11455,45.0,"[19300, 11455]"
18542,15183,1.0,"[18542, 11147, 15183]"
16855,19134,1.0,"[16855, 14234, 16108, 19134]"
13694,13582,1.0,"[13694, 15483, 13582]"
12205,19502,236.0,"[12205, 19502]"
18941,12652,259.0,"[18941, 12652]"
10748,13582,1.0,"[10748, 13417, 13582]"
13694,14704,300.0,"[13694, 14704]"
12652,10044,168.0,"[12652, 10044]"
10705,15651,300.0,"[10705, 15651]"
11112,13694,300.0,"[11112, 13694]"
15483,15891,1.0,"[15483, 18812, 15891]"
13088,11147,300.0,"[13088, 11147]"
13917,13417,1.0,"[13917, 13555, 15008, 13509, 13417]"
16236,15483,1.0,"[16236, 12746, 15483]"
13073,12652,300.0,"[13073, 12652]"
12352,13454,30.00000000001593,"[12352, 13840, 13454]"
12352,13454,270.0,"[12352, 13454]"
13636,11181,300.0,"[13636, 11181]"
11147,19430,30.0,"[11147, 11853, 19430]"
11147,19430,270.0,"[11147, 19430]"
15483,11209,300.0,"[15483, 11209]"
18411,15008,1.0,"[18411, 18149, 17738, 15008]"
19300,12940,30.0,"[19300, 12652, 12940]"
19300,12940,270.0,"[19300, 12940]"
10916,10177,1.0,"[10916, 17464, 10177]"
15270,12562,300.0,"[15270, 12562]"
13509,15724,1.0,"[13509, 13636, 12652, 15724]"
13509,15724,270.0,"[13509, 15724]"
12940,10177,8.397456101122966,"[12940, 16962, 11189, 10177]"
12940,10177,18.602543898877034,"[12940, 11189, 10177]"
12940,10177,64.0,"[12940, 15976, 10177]"
15270,10867,300.0,"[15270, 10867]"
11200,11853,1.0,"[11200, 11853]"
11200,12270,1.0,"[11200, 15264, 12270]"
15891,14704,63.0,"[15891, 14704]"
16325,16108,1.0,"[16325, 16028, 16108]"
16236,12355,1.0,"[16236, 10916, 15651, 12355]"
18441,13917,39.0,"[18441, 17789, 12652, 11022, 13917]"
16325,18941,0.5804067240775908,"[16325, 13636, 18941]"
16325,18941,192.4195932759224,"[16325, 18941]"
15483,18812,1.0,"[15483, 18812]"
12616,10916,30.0,"[12616, 11163, 10916]"
12616,10916,270.0,"[12616, 10916]"
18812,15651,1.0,"[18812, 15601, 17522, 15651]"
13509,19971,1.0,"[13509, 10044, 19971]"
10705,18799,14.0,"[10705, 16683, 18799]"
10705,18799,17.0,"[10705, 10657, 18799]"
10705,18799,180.0,"[10705, 18799]"
10916,18448,27.0,"[10916, 15651, 18448]"
10916,18448,30.0,"[10916, 17464, 18448]"
10916,18448,180.0,"[10916, 18448]"
12868,13165,30.0,"[12868, 11455, 13165]"
12868,13165,270.0,"[12868, 13165]"
10916,11022,43.0,"[10916, 11022]"
12352,18799,119.0,"[12352, 18799]"
13555,16108,8.0,"[13555, 16028, 16108]"
13555,16108,180.0,"[13555, 16108]"
14736,11455,1.0,"[14736, 11455]"
18542,18799,30.0,"[18542, 10657, 18799]"
18542,18799,270.0,"[18542, 18799]"
11200,16339,1.0,"[11200, 19134, 16339]"
16117,15483,1.0,"[16117, 12746, 15483]"
15483,13170,1.0,"[15483, 18812, 13170]"
11112,15601,1.0,"[11112, 15891, 15601]"
10916,12355,5.0,"[10916, 15651, 12355]"
10916,12355,180.0,"[10916, 12355]"
18542,15651,1.0,"[18542, 13073, 13165, 16108, 15651]"
10748,16855,1.0,"[10748, 16855]"
14234,13417,1.0,"[14234, 13165, 13417]"
17516,18827,146.0,"[17516, 18827]"
18812,14234,1.0,"[18812, 14053, 10568, 13989, 14234]"
15183,12352,300.0,"[15183, 12352]"
12652,14234,32.0,"[12652, 10867, 14234]"
12652,14234,90.0,"[12652, 14234]"
10748,15724,1.0,"[10748, 13460, 15724]"
13563,11209,300.0,"[13563, 11209]"
14234,16108,1.0,"[14234, 16108]"
15077,19300,7.0,"[15077, 19502, 19300]"
15077,19300,90.0,"[15077, 19300]"
11466,10044,1.0,"[11466, 10044]"
15483,17522,58.0,"[15483, 17522]"
11209,19273,1.0,"[11209, 13636, 19273]"
18441,17522,30.0,"[18441, 19300, 17522]"
18441,17522,270.0,"[18441, 17522]"
15378,16236,300.0,"[15378, 16236]"
16117,17752,21.297013358265918,"[16117, 12616, 16193, 17752]"
16117,17752,8.702986641734082,"[16117, 19971, 17752]"
16117,17752,270.0,"[16117, 17752]"
13694,17464,30.0,"[13694, 15848, 17464]"
13694,17464,270.0,"[13694, 17464]"
12940,15183,1.0,"[12940, 19273, 15183]"
18827,18812,300.0,"[18827, 18812]"
10705,15183,1.0,"[10705, 11147, 15183]"
18542,12633,1.0,"[18542, 17752, 12633]"
11112,10985,300.0,"[11112, 10985]"
12352,11147,1.0,"[12352, 11147]"
