src,dst,volume,path_nodes
16219,15204,1.0,"[16219, 10376, 17253, 15204]"
10270,18476,270.0,"[10270, 18476]"
10270,18476,17.0,"[10270, 17495, 18476]"
11461,16133,9.999999999946244,"[11461, 14076, 16133]"
11461,16133,270.0,"[11461, 16133]"
11461,16133,20.000000000053756,"[11461, 19171, 16133]"
10303,14070,32.0,"[10303, 14005, 14070]"
10303,14070,90.0,"[10303, 14070]"
15973,15262,1.0,"[15973, 11168, 15262]"
14724,16916,30.0,"[14724, 15747, 16916]"
14724,16916,270.0,"[14724, 16916]"
10708,11214,6.153300091682468e-12,"[10708, 14252, 16262, 15401, 11214]"
10708,11214,0.9999999999938467,"[10708, 15916, 16916, 15401, 11214]"
13503,18144,1.0,"[13503, 12627, 18144]"
19311,19171,1.0,"[19311, 11267, 19171]"
10570,17770,1.0,"[10570, 19539, 17253, 17770]"
13578,15872,67.0,"[13578, 15872]"
10044,17312,28.0,"[10044, 15747, 17312]"
15401,14376,1.0,"[15401, 11472, 14376]"
18863,18446,1.0,"[18863, 16991, 18446]"
11267,13474,1.0,"[11267, 10708, 13474]"
12627,18446,1.0,"[12627, 17784, 18446]"
18863,10659,261.0,"[18863, 10659]"
17784,11168,69.0,"[17784, 11168]"
11461,18863,1.0,"[11461, 10044, 15506, 18863]"
13651,19311,88.0,"[13651, 19311]"
13183,12985,43.0,"[13183, 12985]"
15872,16991,2.0,"[15872, 17822, 16991]"
15872,16991,89.0,"[15872, 16991]"
14076,16219,45.0,"[14076, 16219]"
10570,12280,1.0,"[10570, 18863, 12280]"
19311,11568,1.0,"[19311, 10303, 11568]"
16991,15973,1.0,"[16991, 14724, 15506, 15973]"
12663,10270,236.0,"[12663, 10270]"
12214,16916,180.0,"[12214, 16916]"
12214,16916,79.0,"[12214, 15916, 16916]"
19921,14444,1.0,"[19921, 14724, 14444]"
18144,18849,300.0,"[18144, 18849]"
15872,16366,168.0,"[15872, 13183, 16366]"
10303,13183,39.54213483075271,"[10303, 19921, 17822, 13183]"
10303,13183,59.0,"[10303, 13503, 13183]"
10303,13183,51.45786516924729,"[10303, 14005, 13183]"
10303,13183,150.0,"[10303, 16219, 13183]"
16991,14724,300.0,"[16991, 14724]"
19371,16053,1.0,"[19371, 13578, 16053]"
14724,11168,28.0,"[14724, 12280, 11168]"
14724,11168,2.0,"[14724, 11568, 11168]"
14724,11168,270.0,"[14724, 11168]"
19921,10751,1.0,"[19921, 10327, 13578, 10751]"
16053,17770,1.0,"[16053, 14376, 17770]"
16053,10178,30.0,"[16053, 13523, 10178]"
16053,10178,270.0,"[16053, 10178]"
18144,15204,30.0,"[18144, 19956, 15204]"
18144,15204,270.0,"[18144, 15204]"
11461,10327,300.0,"[11461, 10327]"
16053,16366,31.0,"[16053, 11168, 16366]"
16053,16366,269.0,"[16053, 16366]"
10044,11168,1.3019662920053179,"[10044, 18863, 11168]"
10044,11168,28.698033707994682,"[10044, 11568, 11168]"
10044,11168,270.0,"[10044, 11168]"
12627,15401,1.0,"[12627, 19542, 16262, 15401]"
18978,12985,29.0,"[18978, 16133, 12985]"
18978,12985,270.0,"[18978, 12985]"
18978,12985,1.0,"[18978, 12364, 12985]"
14724,18978,0.9999999999999991,"[14724, 10327, 15401, 18978]"
17312,10570,300.0,"[17312, 10570]"
16219,18978,1.0,"[16219, 14005, 18978]"
16219,18978,270.0,"[16219, 18978]"
12627,14444,1.0,"[12627, 14724, 14444]"
12627,14444,90.0,"[12627, 14444]"
19956,15973,300.0,"[19956, 15973]"
12573,14005,1.0,"[12573, 10270, 14005]"
16991,13578,1.0,"[16991, 18577, 13578]"
15973,15206,63.0,"[15973, 15206]"
10303,13578,1.0,"[10303, 19921, 10327, 13578]"
19469,15872,1.0,"[19469, 16366, 15872]"
18863,15262,2.9999999999469367,"[18863, 19956, 15262]"
18863,15262,0.2991573034557877,"[18863, 11117, 15262]"
18863,15262,35.70084269659728,"[18863, 17770, 15262]"
17784,17312,13.0,"[17784, 17495, 19311, 17312]"
17784,17312,180.0,"[17784, 17312]"
10044,12952,1.0,"[10044, 19542, 10989, 12952]"
10570,19311,299.99999999996453,"[10570, 19311]"
10570,19311,3.5491609651217004e-11,"[10570, 17495, 19311]"
11861,16133,1.0,"[11861, 16133]"
15973,18476,1.0,"[15973, 17547, 18476]"
10327,10270,31.0,"[10327, 12573, 10270]"
10327,10270,180.0,"[10327, 10270]"
17547,19542,237.0,"[17547, 19542]"
11461,11861,300.0,"[11461, 11861]"
19180,10270,43.0,"[19180, 10270]"
16991,19171,119.0,"[16991, 19171]"
12985,18577,8.0,"[12985, 12663, 18577]"
12985,18577,180.0,"[12985, 18577]"
14005,15747,1.0,"[14005, 13503, 15747]"
10044,13183,18.542134830752737,"[10044, 11461, 13183]"
10044,13183,2.45786516924729,"[10044, 17822, 13183]"
10044,13183,8.999999999999972,"[10044, 17784, 13183]"
10044,13183,270.0,"[10044, 13183]"
16142,16366,1.0,"[16142, 17039, 16366]"
15916,10708,1.0,"[15916, 16916, 10708]"
13503,13431,1.0,"[13503, 17535, 13431]"
18978,11168,1.0,"[18978, 19956, 11168]"
13503,11168,5.0,"[13503, 18863, 11168]"
13503,11168,180.0,"[13503, 11168]"
12627,10659,1.0,"[12627, 14724, 10659]"
16219,15973,1.0,"[16219, 10044, 15973]"
16991,14076,1.0,"[16991, 12627, 14076]"
16053,17312,146.0,"[16053, 17312]"
10270,12663,1.0,"[10270, 19311, 12663]"
13503,19469,300.0,"[13503, 19469]"
16053,13503,22.0,"[16053, 19542, 13503]"
16053,13503,90.0,"[16053, 13503]"
16053,13503,10.0,"[16053, 10303, 13503]"
19311,14724,1.0,"[19311, 10044, 14724]"
15872,10751,32.0,"[15872, 19171, 10751]"
15872,10751,268.0,"[15872, 10751]"
18863,13651,1.0,"[18863, 10570, 13651]"
10270,13856,7.0,"[10270, 18863, 13856]"
10270,13856,90.0,"[10270, 13856]"
10708,17535,1.0,"[10708, 13431, 17535]"
17547,13856,58.0,"[17547, 13856]"
12627,15747,1.0,"[12627, 15747]"
15872,15286,30.0,"[15872, 17784, 15286]"
15872,15286,270.0,"[15872, 15286]"
17770,15262,300.0,"[17770, 15262]"
12364,11267,300.0,"[12364, 11267]"
10270,13578,270.0,"[10270, 13578]"
10270,13578,30.0,"[10270, 19371, 13578]"
10270,19185,1.0,"[10270, 19311, 19185]"
19956,16219,12.299157303402698,"[19956, 11168, 16219]"
19956,16219,270.0,"[19956, 16219]"
19956,16219,17.700842696597302,"[19956, 17770, 16219]"
10708,13183,0.9999999999999999,"[10708, 14252, 18577, 13183]"
10708,13183,2.336896108722108e-12,"[10708, 13651, 10570, 13183]"
18863,13503,1.0,"[18863, 16991, 13503]"
12985,19956,49.58286516883327,"[12985, 18849, 19956]"
12985,19956,250.41713483116672,"[12985, 19956]"
12627,15204,0.7162921346225153,"[12627, 10376, 17253, 15204]"
12627,15204,0.2837078653774847,"[12627, 11168, 15204]"
19311,17822,30.0,"[19311, 10044, 17822]"
19311,17822,270.0,"[19311, 17822]"
13179,12985,30.0,"[13179, 10044, 12985]"
13179,12985,270.0,"[13179, 12985]"
19539,10570,1.0,"[19539, 11267, 10570]"
17822,15872,1.0,"[17822, 12627, 15872]"
10044,13856,1.0,"[10044, 11861, 13856]"
11461,13179,163.0,"[11461, 13179]"
16991,16262,253.0,"[16991, 16262]"
19921,13101,20.00000000000003,"[19921, 15973, 13523, 13101]"
19921,13101,9.999999999999972,"[19921, 14724, 12757, 13101]"
19921,13101,270.0,"[19921, 13101]"
10303,14724,1.0,"[10303, 19921, 14724]"
12627,18577,5.0,"[12627, 14076, 18577]"
12627,18577,90.0,"[12627, 18577]"
10708,19311,239.0,"[10708, 19311]"
16262,17784,300.0,"[16262, 17784]"
14724,19171,1.0,"[14724, 11461, 19171]"
18144,17784,300.0,"[18144, 17784]"
16219,13578,300.0,"[16219, 13578]"
16262,12985,1.0,"[16262, 12627, 12985]"
13503,13101,18.0,"[13503, 12757, 13101]"
13503,13101,90.0,"[13503, 13101]"
15973,11568,21.0,"[15973, 10178, 11568]"
15973,11568,180.0,"[15973, 11568]"
14005,16366,21.0,"[14005, 13183, 16366]"
10270,18144,1.0,"[10270, 12627, 18144]"
16133,12985,300.0,"[16133, 12985]"
10270,15028,89.45786516848126,"[10270, 18182, 15028]"
10270,15028,153.14185393259334,"[10270, 10751, 15028]"
10270,15028,57.1011235955266,"[10270, 17770, 15028]"
10270,15028,0.29915730339880287,"[10270, 17770, 15262, 15028]"
12364,16366,6.0,"[12364, 16366]"
10303,15286,1.0,"[10303, 15286]"
15872,13101,55.0,"[15872, 12757, 13101]"
15872,13101,90.0,"[15872, 13101]"
10044,13503,1.0,"[10044, 13503]"
17547,17784,111.0,"[17547, 17784]"
15872,10327,16.299157303402723,"[15872, 18144, 10327]"
15872,10327,33.70084269659728,"[15872, 10327]"
14724,17822,300.0,"[14724, 17822]"
19311,19542,269.0,"[19311, 19542]"
19311,19542,19.89325842681609,"[19311, 12627, 19542]"
19311,19542,11.10674157318391,"[19311, 11267, 19542]"
19311,19185,300.0,"[19311, 19185]"
11461,15206,1.0,"[11461, 10044, 15506, 15206]"
17312,10270,300.0,"[17312, 10270]"
