src,dst,volume,path_nodes
12398,12398,18.0,"[12398, 14412, 10045]"
12398,12398,12.0,"[12398, 19545, 13009, 10045]"
12398,12398,270.0,"[12398, 10045]"
10045,10045,300.0,"[10045, 13009]"
18545,18545,1.0,"[18545, 13502]"
10045,10045,1.0,"[10045, 13009, 18249]"
10045,10045,1.0,"[10045, 19545, 12398]"
13009,13009,163.0,"[13009, 11484]"
10045,10045,253.0,"[10045, 10379]"
18249,18249,300.0,"[18249, 10045]"
10045,10045,1.0,"[10045, 14762, 13009, 18935]"
10379,10379,90.0,"[10379, 10045]"
10379,10379,5.0,"[10379, 14762, 10045]"
13502,13502,239.0,"[13502, 18249]"
10045,10045,300.0,"[10045, 14762]"
10045,10045,1.0,"[10045, 14762, 11484, 14412]"
16313,16313,21.0,"[16313, 10045, 19545, 11484, 11177]"
16313,16313,9.0,"[16313, 18935, 10379, 11484, 11177]"
16313,16313,90.0,"[16313, 12398, 14412, 11177]"
16313,16313,180.0,"[16313, 11177]"
13502,13502,300.0,"[13502, 18935]"
18935,18935,1.0,"[18935, 13009, 10045, 14762, 11484]"
10575,10575,108.0,"[10575, 19545]"
18935,18935,201.0,"[18935, 14762]"
